SRRnumber	dataset	bioType	replicate	condition
SRR4319297	PRJNA345014	WT_ribo0	r1	c1
SRR4319298	PRJNA345014	WT_ribo0	r2	c1
SRR4319299	PRJNA345014	WT_ribo0	r1	c2
SRR4319300	PRJNA345014	WT_ribo0	r2	c2
SRR4319301	PRJNA345014	hpl-2_ribo0	r1	c1
SRR4319302	PRJNA345014	hpl-2_ribo0	r2	c1
SRR4319303	PRJNA345014	lin-13_ribo0	r1	c2
SRR4319304	PRJNA345014	lin-13_ribo0	r2	c2
SRR4319305	PRJNA345014	lin-61_ribo0	r1	c1
SRR4319306	PRJNA345014	lin-61_ribo0	r2	c1
SRR4319307	PRJNA345014	let-418_ribo0	r1	c1
SRR4319308	PRJNA345014	let-418_ribo0	r2	c1
SRR4319309	PRJNA345014	met-2_set-25_ribo0	r1	c1
SRR4319310	PRJNA345014	met-2_set-25_ribo0	r2	c1
SRR4319311	PRJNA345014	prg-1_ribo0	r1	c2
SRR4319312	PRJNA345014	prg-1_ribo0	r2	c2
SRR4319313	PRJNA345014	nrde2_ribo0	r1	c2
SRR4319314	PRJNA345014	nrde2_ribo0	r2	c2
SRR4319315	PRJNA345014	nrde2_let-418_ribo0	r1	c2
SRR4319316	PRJNA345014	nrde2_let-418_ribo0	r2	c2
